,pathway,description,#SampleID,Abundance,Group,relative_abundance
3889,PWY-6163,chorismate biosynthesis from 3-dehydroquinate,BA1,70804.78760090315,CMC,0.007857671649015938
3890,PWY-6165,chorismate biosynthesis II (archaea),BA1,20.77372454246449,CMC,2.305396455701079e-06
3891,PWY-6167,flavin biosynthesis II (archaea),BA1,30.829034863975,CMC,3.4213001892274634e-06
3892,PWY-6174,mevalonate pathway II (archaea),BA1,30.27172871827692,CMC,3.3594522711804883e-06
3893,PWY-6182,superpathway of salicylate degradation,BA1,8.786885549725351,CMC,9.75138317713759e-07
3894,PWY-6185,4-methylcatechol degradation (ortho cleavage),BA1,9.724677123627275,CMC,1.0792111991193265e-06
3895,PWY-621,sucrose degradation III (sucrose invertase),BA1,30658.795153676667,CMC,0.00340240757206875
3896,PWY-6210,2-aminophenol degradation,BA1,0.0,CMC,0.0
3897,PWY-6263,superpathway of menaquinol-8 biosynthesis II,BA1,8680.651333287824,CMC,0.0009633488099849635
3898,PWY-6269,adenosylcobalamin salvage from cobinamide II,BA1,38377.35772687024,CMC,0.0042589870825447485
3899,PWY-6277,superpathway of 5-aminoimidazole ribonucleotide biosynthesis,BA1,76742.9673900723,CMC,0.00851667040541527
3900,PWY-6282,palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate),BA1,35494.40819189213,CMC,0.003939047264996984
3901,PWY-6317,galactose degradation I (Leloir pathway),BA1,47340.33031288512,CMC,0.0052536669335318
3902,PWY-6338,superpathway of vanillin and vanillate degradation,BA1,0.0,CMC,0.0
3903,PWY-6339,syringate degradation,BA1,0.0,CMC,0.0
3904,PWY-6349,CDP-archaeol biosynthesis,BA1,17.274987053340237,CMC,1.9171186102734318e-06
3905,PWY-6350,archaetidylinositol biosynthesis,BA1,16.208940719144803,CMC,1.7988124569669573e-06
3906,PWY-6353,purine nucleotides degradation II (aerobic),BA1,17709.08037876715,CMC,0.00196529279357104
3907,PWY-6383,"mono-trans, poly-cis decaprenyl phosphate biosynthesis",BA1,5.998813105690968,CMC,6.657276331937181e-07
3908,PWY-6385,peptidoglycan biosynthesis III (mycobacteria),BA1,74612.11043086229,CMC,0.008280195233554444
