,description,SampleID,Group,relative_abundance
791,pyridoxal 5'-phosphate biosynthesis I,AB10,CN,0.0008306399027851
792,TCA cycle VIII (helicobacter),AB10,CN,0.0010560094666193
828,biotin biosynthesis I,AB2,CN,0.0027320802855461
833,pyruvate fermentation to butanoate,AB2,CN,0.0006191573667521
848,fatty acid &beta;-oxidation I,AB2,CN,0.0003501533581303
882,L-methionine biosynthesis III,AB2,CN,0.0008854064957836
896,NAD biosynthesis II (from tryptophan),AB2,CN,4.075736920938414e-06
905,pyruvate fermentation to propanoate I,AB2,CN,0.003444359359488
908,"superpathway of (R,R)-butanediol biosynthesis",AB2,CN,3.860896693056399e-05
937,"superpathway of histidine, purine, and pyrimidine biosynthesis",AB2,CN,0.0040589238473029
940,superpathway of taurine degradation,AB2,CN,4.997565677261888e-06
942,photorespiration,AB2,CN,4.96923554017226e-05
953,biotin biosynthesis II,AB2,CN,7.043613116852544e-06
992,L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde,AB2,CN,2.547907587654295e-06
1023,superpathway of heme biosynthesis from glycine,AB2,CN,0.0006591085422605
1048,superpathway of menaquinol-8 biosynthesis II,AB2,CN,0.0003372067636159
1062,"superpathway of 2,3-butanediol biosynthesis",AB2,CN,9.377800946132492e-05
1070,8-amino-7-oxononanoate biosynthesis I,AB2,CN,0.0030395691190016
1074,chondroitin sulfate degradation I (bacterial),AB2,CN,0.0001721143502946
1076,superpathway of Clostridium acetobutylicum acidogenic fermentation,AB2,CN,0.0007793250650212
1095,isopropanol biosynthesis,AB2,CN,0.0
1100,superpathway of glucose and xylose degradation,AB2,CN,0.0037742430477463
1127,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,AB2,CN,0.0030721199047193
1136,"myo-, chiro- and scillo-inositol degradation",AB2,CN,4.499017589127482e-05
1149,"1,4-dihydroxy-6-naphthoate biosynthesis I",AB2,CN,9.386654856290116e-05
1189,superpathway of pyridoxal 5'-phosphate biosynthesis and salvage,AB2,CN,0.0019780215038647
1198,pyridoxal 5'-phosphate biosynthesis I,AB2,CN,0.001675320315426
1199,TCA cycle VIII (helicobacter),AB2,CN,0.0011952979884849
1235,biotin biosynthesis I,AB3,CN,0.0018167259148235
1240,pyruvate fermentation to butanoate,AB3,CN,0.0004047528632936
1255,fatty acid &beta;-oxidation I,AB3,CN,0.0002057264845265
1289,L-methionine biosynthesis III,AB3,CN,0.0008854345223654
1303,NAD biosynthesis II (from tryptophan),AB3,CN,2.260974020329092e-06
1312,pyruvate fermentation to propanoate I,AB3,CN,0.0019592053618546
1315,"superpathway of (R,R)-butanediol biosynthesis",AB3,CN,2.710599673088473e-05
1344,"superpathway of histidine, purine, and pyrimidine biosynthesis",AB3,CN,0.0029497397897465
1347,superpathway of taurine degradation,AB3,CN,4.408492652360075e-06
1349,photorespiration,AB3,CN,5.450580070019095e-05
1360,biotin biosynthesis II,AB3,CN,1.2634523467854856e-05
1399,L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde,AB3,CN,1.4132757576455286e-06
1430,superpathway of heme biosynthesis from glycine,AB3,CN,0.0003874162065426
1455,superpathway of menaquinol-8 biosynthesis II,AB3,CN,0.0004155476892703
1469,"superpathway of 2,3-butanediol biosynthesis",AB3,CN,6.474162367937676e-05
1477,8-amino-7-oxononanoate biosynthesis I,AB3,CN,0.0021122414518311
1481,chondroitin sulfate degradation I (bacterial),AB3,CN,7.632037354796089e-05
1483,superpathway of Clostridium acetobutylicum acidogenic fermentation,AB3,CN,0.000513332803011
1502,isopropanol biosynthesis,AB3,CN,5.073683508404803e-07
1507,superpathway of glucose and xylose degradation,AB3,CN,0.0021036674868469
1534,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,AB3,CN,0.0020562812361439
1543,"myo-, chiro- and scillo-inositol degradation",AB3,CN,2.6887577345145902e-05
1556,"1,4-dihydroxy-6-naphthoate biosynthesis I",AB3,CN,0.0001137176317099
1596,superpathway of pyridoxal 5'-phosphate biosynthesis and salvage,AB3,CN,0.0009491581459995
1605,pyridoxal 5'-phosphate biosynthesis I,AB3,CN,0.0007572630892812
1606,TCA cycle VIII (helicobacter),AB3,CN,0.0008140565863824
1642,biotin biosynthesis I,AB4,CN,0.0019698731417291
1647,pyruvate fermentation to butanoate,AB4,CN,0.0004132092396242
1662,fatty acid &beta;-oxidation I,AB4,CN,0.0002151205726156
1696,L-methionine biosynthesis III,AB4,CN,0.0011030316301728
1710,NAD biosynthesis II (from tryptophan),AB4,CN,3.6789043007109126e-06
1719,pyruvate fermentation to propanoate I,AB4,CN,0.0023025534302854
1722,"superpathway of (R,R)-butanediol biosynthesis",AB4,CN,6.099750729508133e-05
1751,"superpathway of histidine, purine, and pyrimidine biosynthesis",AB4,CN,0.0029896382085763
1754,superpathway of taurine degradation,AB4,CN,1.766213316083472e-06
1756,photorespiration,AB4,CN,6.945110224182092e-05
1767,biotin biosynthesis II,AB4,CN,1.8218223843015084e-05
1806,L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde,AB4,CN,2.299788968762298e-06
1837,superpathway of heme biosynthesis from glycine,AB4,CN,0.0003521017963162
1862,superpathway of menaquinol-8 biosynthesis II,AB4,CN,0.0006085755559863
1876,"superpathway of 2,3-butanediol biosynthesis",AB4,CN,0.0001239829004589
1884,8-amino-7-oxononanoate biosynthesis I,AB4,CN,0.0019647560020867
1888,chondroitin sulfate degradation I (bacterial),AB4,CN,6.842582058917437e-05
1890,superpathway of Clostridium acetobutylicum acidogenic fermentation,AB4,CN,0.000524228574969
1909,isopropanol biosynthesis,AB4,CN,1.6288758140803788e-07
1914,superpathway of glucose and xylose degradation,AB4,CN,0.0024831106376634
1941,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,AB4,CN,0.0027388445977312
1950,"myo-, chiro- and scillo-inositol degradation",AB4,CN,5.251395683886039e-05
1963,"1,4-dihydroxy-6-naphthoate biosynthesis I",AB4,CN,0.000189470167054
2003,superpathway of pyridoxal 5'-phosphate biosynthesis and salvage,AB4,CN,0.0011696426528637
2012,pyridoxal 5'-phosphate biosynthesis I,AB4,CN,0.00090971730663
2013,TCA cycle VIII (helicobacter),AB4,CN,0.0020089105534398
2049,biotin biosynthesis I,AB5,CN,0.0023946569544747
2054,pyruvate fermentation to butanoate,AB5,CN,0.0006691813146617
2069,fatty acid &beta;-oxidation I,AB5,CN,0.0003922328422197
2103,L-methionine biosynthesis III,AB5,CN,0.0010028558738095
2117,NAD biosynthesis II (from tryptophan),AB5,CN,2.9294412848849115e-06
2126,pyruvate fermentation to propanoate I,AB5,CN,0.0024486338738552
2129,"superpathway of (R,R)-butanediol biosynthesis",AB5,CN,3.132764211494704e-05
2158,"superpathway of histidine, purine, and pyrimidine biosynthesis",AB5,CN,0.003379995273787
2161,superpathway of taurine degradation,AB5,CN,7.563205654505453e-06
2163,photorespiration,AB5,CN,6.60468854631855e-05
2174,biotin biosynthesis II,AB5,CN,1.192044468347898e-05
2213,L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde,AB5,CN,1.8311921311932047e-06
2244,superpathway of heme biosynthesis from glycine,AB5,CN,0.0007014648257169
2269,superpathway of menaquinol-8 biosynthesis II,AB5,CN,0.0004477799233524
2283,"superpathway of 2,3-butanediol biosynthesis",AB5,CN,7.613189604272555e-05
2291,8-amino-7-oxononanoate biosynthesis I,AB5,CN,0.0026700853011235
2295,chondroitin sulfate degradation I (bacterial),AB5,CN,0.0001100774000945
2297,superpathway of Clostridium acetobutylicum acidogenic fermentation,AB5,CN,0.0008407709205898
2316,isopropanol biosynthesis,AB5,CN,1.1495566727257551e-06
2321,superpathway of glucose and xylose degradation,AB5,CN,0.0027400653247456
2348,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,AB5,CN,0.0024120183500386
2357,"myo-, chiro- and scillo-inositol degradation",AB5,CN,5.1272583229413786e-05
2370,"1,4-dihydroxy-6-naphthoate biosynthesis I",AB5,CN,0.0001285618856127
2410,superpathway of pyridoxal 5'-phosphate biosynthesis and salvage,AB5,CN,0.0013731631950147
2419,pyridoxal 5'-phosphate biosynthesis I,AB5,CN,0.0010926292447104
2420,TCA cycle VIII (helicobacter),AB5,CN,0.0013544598688507
2456,biotin biosynthesis I,AB6,CN,0.0019217793422125
2461,pyruvate fermentation to butanoate,AB6,CN,0.0003805168933708
2476,fatty acid &beta;-oxidation I,AB6,CN,0.0001926850192885
2510,L-methionine biosynthesis III,AB6,CN,0.0011972881907079
2524,NAD biosynthesis II (from tryptophan),AB6,CN,8.12448611505787e-06
2533,pyruvate fermentation to propanoate I,AB6,CN,0.0018763882426177
2536,"superpathway of (R,R)-butanediol biosynthesis",AB6,CN,2.9272425118923825e-05
2565,"superpathway of histidine, purine, and pyrimidine biosynthesis",AB6,CN,0.0029500132613194
2568,superpathway of taurine degradation,AB6,CN,5.432241948851741e-06
2570,photorespiration,AB6,CN,8.129406895360865e-05
2581,biotin biosynthesis II,AB6,CN,4.8164009232153794e-05
2620,L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde,AB6,CN,5.080194298748063e-06
2651,superpathway of heme biosynthesis from glycine,AB6,CN,0.0003570520300723
2676,superpathway of menaquinol-8 biosynthesis II,AB6,CN,0.0003434118547583
2690,"superpathway of 2,3-butanediol biosynthesis",AB6,CN,7.530492933775437e-05
2698,8-amino-7-oxononanoate biosynthesis I,AB6,CN,0.0022039194983394
2702,chondroitin sulfate degradation I (bacterial),AB6,CN,6.752365990376672e-05
2704,superpathway of Clostridium acetobutylicum acidogenic fermentation,AB6,CN,0.0004833965931288
2723,isopropanol biosynthesis,AB6,CN,9.760727609454014e-06
2728,superpathway of glucose and xylose degradation,AB6,CN,0.0023464837451165
2755,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,AB6,CN,0.001935791977191
2764,"myo-, chiro- and scillo-inositol degradation",AB6,CN,4.331932139133803e-05
2777,"1,4-dihydroxy-6-naphthoate biosynthesis I",AB6,CN,0.0001002000090317
2817,superpathway of pyridoxal 5'-phosphate biosynthesis and salvage,AB6,CN,0.0010737669856898
2826,pyridoxal 5'-phosphate biosynthesis I,AB6,CN,0.0008342707304272
2827,TCA cycle VIII (helicobacter),AB6,CN,0.0014212995483593
2863,biotin biosynthesis I,AB7,CN,0.0018242546279271
2868,pyruvate fermentation to butanoate,AB7,CN,0.0004882412282644
2883,fatty acid &beta;-oxidation I,AB7,CN,0.0002572056019226
2917,L-methionine biosynthesis III,AB7,CN,0.0010633520812725
2931,NAD biosynthesis II (from tryptophan),AB7,CN,3.2503228394349696e-06
2940,pyruvate fermentation to propanoate I,AB7,CN,0.0020174069978316
2943,"superpathway of (R,R)-butanediol biosynthesis",AB7,CN,7.069429335629394e-05
2972,"superpathway of histidine, purine, and pyrimidine biosynthesis",AB7,CN,0.0037439812601093
2975,superpathway of taurine degradation,AB7,CN,8.265510895740714e-06
2977,photorespiration,AB7,CN,5.356788494937816e-05
2988,biotin biosynthesis II,AB7,CN,3.1466841291161064e-05
3027,L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde,AB7,CN,2.031947313513136e-06
3058,superpathway of heme biosynthesis from glycine,AB7,CN,0.0004617880597481
3083,superpathway of menaquinol-8 biosynthesis II,AB7,CN,0.0003689336015806
3097,"superpathway of 2,3-butanediol biosynthesis",AB7,CN,0.0001832524038207
3105,8-amino-7-oxononanoate biosynthesis I,AB7,CN,0.0019060846662364
3109,chondroitin sulfate degradation I (bacterial),AB7,CN,6.328823271287682e-05
3111,superpathway of Clostridium acetobutylicum acidogenic fermentation,AB7,CN,0.0006195426239344
3130,isopropanol biosynthesis,AB7,CN,2.8579484170114773e-06
3135,superpathway of glucose and xylose degradation,AB7,CN,0.0031521562883944
3162,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,AB7,CN,0.0025721316247882
3171,"myo-, chiro- and scillo-inositol degradation",AB7,CN,9.544145638004424e-05
3184,"1,4-dihydroxy-6-naphthoate biosynthesis I",AB7,CN,0.0001004572381263
3224,superpathway of pyridoxal 5'-phosphate biosynthesis and salvage,AB7,CN,0.0012868658417867
3233,pyridoxal 5'-phosphate biosynthesis I,AB7,CN,0.0009959974724646
3234,TCA cycle VIII (helicobacter),AB7,CN,0.0011620119375388
3270,biotin biosynthesis I,AB8,CN,0.0022665762257513
3275,pyruvate fermentation to butanoate,AB8,CN,0.0004177598155812
3290,fatty acid &beta;-oxidation I,AB8,CN,0.0002192018961653
3324,L-methionine biosynthesis III,AB8,CN,0.0011782250631504
3338,NAD biosynthesis II (from tryptophan),AB8,CN,1.530487659174038e-06
3347,pyruvate fermentation to propanoate I,AB8,CN,0.001844469252297
3350,"superpathway of (R,R)-butanediol biosynthesis",AB8,CN,7.45694026454143e-05
3379,"superpathway of histidine, purine, and pyrimidine biosynthesis",AB8,CN,0.0033779210504383
3382,superpathway of taurine degradation,AB8,CN,5.53389173323087e-06
3384,photorespiration,AB8,CN,4.398898105488011e-05
3395,biotin biosynthesis II,AB8,CN,1.436734531710144e-05
3434,L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde,AB8,CN,9.566466098109407e-07
3465,superpathway of heme biosynthesis from glycine,AB8,CN,0.0004125331910123
3490,superpathway of menaquinol-8 biosynthesis II,AB8,CN,0.0004343876254946
3504,"superpathway of 2,3-butanediol biosynthesis",AB8,CN,0.0001785402933769
3512,8-amino-7-oxononanoate biosynthesis I,AB8,CN,0.0022231123272612
3516,chondroitin sulfate degradation I (bacterial),AB8,CN,6.262128781327522e-05
3518,superpathway of Clostridium acetobutylicum acidogenic fermentation,AB8,CN,0.0005302607657504
3537,isopropanol biosynthesis,AB8,CN,1.0924181959446704e-06
3542,superpathway of glucose and xylose degradation,AB8,CN,0.0024014423684952
3569,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,AB8,CN,0.0033232179194914
3578,"myo-, chiro- and scillo-inositol degradation",AB8,CN,6.788501452883955e-05
3591,"1,4-dihydroxy-6-naphthoate biosynthesis I",AB8,CN,0.0001189529212683
3631,superpathway of pyridoxal 5'-phosphate biosynthesis and salvage,AB8,CN,0.0012268781164266
3640,pyridoxal 5'-phosphate biosynthesis I,AB8,CN,0.0009540169578028
3641,TCA cycle VIII (helicobacter),AB8,CN,0.001036331200594
3677,biotin biosynthesis I,AB9,CN,0.0020403332882066
3682,pyruvate fermentation to butanoate,AB9,CN,0.0007044682992497
3697,fatty acid &beta;-oxidation I,AB9,CN,0.0003857181016502
3731,L-methionine biosynthesis III,AB9,CN,0.0010170371048803
3745,NAD biosynthesis II (from tryptophan),AB9,CN,0.0
3754,pyruvate fermentation to propanoate I,AB9,CN,0.0023837729732136
3757,"superpathway of (R,R)-butanediol biosynthesis",AB9,CN,4.9268851772752784e-05
3786,"superpathway of histidine, purine, and pyrimidine biosynthesis",AB9,CN,0.0035043688709628
3789,superpathway of taurine degradation,AB9,CN,6.56296835714151e-06
3791,photorespiration,AB9,CN,4.389286586396375e-05
3802,biotin biosynthesis II,AB9,CN,1.388510048549257e-05
3841,L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde,AB9,CN,0.0
3872,superpathway of heme biosynthesis from glycine,AB9,CN,0.0006545153082093
3897,superpathway of menaquinol-8 biosynthesis II,AB9,CN,0.0004366082483742
3911,"superpathway of 2,3-butanediol biosynthesis",AB9,CN,0.0001232662440807
3919,8-amino-7-oxononanoate biosynthesis I,AB9,CN,0.0020408611435506
3923,chondroitin sulfate degradation I (bacterial),AB9,CN,7.33903048297836e-05
3925,superpathway of Clostridium acetobutylicum acidogenic fermentation,AB9,CN,0.0008862621293427
3944,isopropanol biosynthesis,AB9,CN,0.0
3949,superpathway of glucose and xylose degradation,AB9,CN,0.0030176838628136
3976,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,AB9,CN,0.0027951626549519
3985,"myo-, chiro- and scillo-inositol degradation",AB9,CN,5.259061919792294e-05
3998,"1,4-dihydroxy-6-naphthoate biosynthesis I",AB9,CN,0.0001221373421128
4038,superpathway of pyridoxal 5'-phosphate biosynthesis and salvage,AB9,CN,0.0012931790174755
4047,pyridoxal 5'-phosphate biosynthesis I,AB9,CN,0.0010251411889693
4048,TCA cycle VIII (helicobacter),AB9,CN,0.0016700475909632
4084,biotin biosynthesis I,AC1,CMY,0.0027455819586061
4089,pyruvate fermentation to butanoate,AC1,CMY,0.0007335087220665
4104,fatty acid &beta;-oxidation I,AC1,CMY,0.0003866614588366
4138,L-methionine biosynthesis III,AC1,CMY,0.001205161222586
4152,NAD biosynthesis II (from tryptophan),AC1,CMY,6.533503277617748e-05
4161,pyruvate fermentation to propanoate I,AC1,CMY,0.0039947897940532
4164,"superpathway of (R,R)-butanediol biosynthesis",AC1,CMY,0.0001075355256441
4193,"superpathway of histidine, purine, and pyrimidine biosynthesis",AC1,CMY,0.0044086486575648
4196,superpathway of taurine degradation,AC1,CMY,1.2645364895709131e-05
4198,photorespiration,AC1,CMY,8.961030269275547e-05
4209,biotin biosynthesis II,AC1,CMY,5.04500676099962e-05
4248,L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde,AC1,CMY,4.097500545928272e-05
4279,superpathway of heme biosynthesis from glycine,AC1,CMY,0.0006887175781541
4304,superpathway of menaquinol-8 biosynthesis II,AC1,CMY,0.0006011763092095
4318,"superpathway of 2,3-butanediol biosynthesis",AC1,CMY,0.0002510420375174
4326,8-amino-7-oxononanoate biosynthesis I,AC1,CMY,0.0028793288433846
4330,chondroitin sulfate degradation I (bacterial),AC1,CMY,0.0001484602555907
4332,superpathway of Clostridium acetobutylicum acidogenic fermentation,AC1,CMY,0.0009207728673839
4351,isopropanol biosynthesis,AC1,CMY,4.759782101580371e-05
4356,superpathway of glucose and xylose degradation,AC1,CMY,0.0037838826904734
4383,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,AC1,CMY,0.0032542195346088
4392,"myo-, chiro- and scillo-inositol degradation",AC1,CMY,9.638774163053468e-05
4405,"1,4-dihydroxy-6-naphthoate biosynthesis I",AC1,CMY,0.0002032841312449
4445,superpathway of pyridoxal 5'-phosphate biosynthesis and salvage,AC1,CMY,0.0023594870718138
4454,pyridoxal 5'-phosphate biosynthesis I,AC1,CMY,0.0019915283509191
4455,TCA cycle VIII (helicobacter),AC1,CMY,0.0025364926968101
4491,biotin biosynthesis I,AC2,CMY,0.0027007752085921
4496,pyruvate fermentation to butanoate,AC2,CMY,0.0011556318508636
4511,fatty acid &beta;-oxidation I,AC2,CMY,0.0007415920479683
4545,L-methionine biosynthesis III,AC2,CMY,0.0016696215736983
4559,NAD biosynthesis II (from tryptophan),AC2,CMY,5.962053498346904e-05
4568,pyruvate fermentation to propanoate I,AC2,CMY,0.0034886366166076
4571,"superpathway of (R,R)-butanediol biosynthesis",AC2,CMY,0.0001859674718369
4600,"superpathway of histidine, purine, and pyrimidine biosynthesis",AC2,CMY,0.0043130674216444
4603,superpathway of taurine degradation,AC2,CMY,1.7383913419145872e-05
4605,photorespiration,AC2,CMY,0.0002396573199858
4616,biotin biosynthesis II,AC2,CMY,0.000114780935184
4655,L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde,AC2,CMY,3.739261673399353e-05
4686,superpathway of heme biosynthesis from glycine,AC2,CMY,0.0010462674871144
4711,superpathway of menaquinol-8 biosynthesis II,AC2,CMY,0.0005433718770635
4725,"superpathway of 2,3-butanediol biosynthesis",AC2,CMY,0.0002994146248228
4733,8-amino-7-oxononanoate biosynthesis I,AC2,CMY,0.0026438023073987
4737,chondroitin sulfate degradation I (bacterial),AC2,CMY,0.0001283009653481
4739,superpathway of Clostridium acetobutylicum acidogenic fermentation,AC2,CMY,0.001426576849977
4758,isopropanol biosynthesis,AC2,CMY,1.9029741068590303e-05
4763,superpathway of glucose and xylose degradation,AC2,CMY,0.0035268559142919
4790,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,AC2,CMY,0.0033988451088877
4799,"myo-, chiro- and scillo-inositol degradation",AC2,CMY,9.173094271347752e-05
4812,"1,4-dihydroxy-6-naphthoate biosynthesis I",AC2,CMY,0.0001883928096628
4852,superpathway of pyridoxal 5'-phosphate biosynthesis and salvage,AC2,CMY,0.0023540578579404
4861,pyridoxal 5'-phosphate biosynthesis I,AC2,CMY,0.0019638996310506
4862,TCA cycle VIII (helicobacter),AC2,CMY,0.0019835820103505
4898,biotin biosynthesis I,AC3,CMY,0.0028889517991711
4903,pyruvate fermentation to butanoate,AC3,CMY,0.0009888539656599
4918,fatty acid &beta;-oxidation I,AC3,CMY,0.0006243740169836
4952,L-methionine biosynthesis III,AC3,CMY,0.0014885247431979
4966,NAD biosynthesis II (from tryptophan),AC3,CMY,5.704642618533159e-05
4975,pyruvate fermentation to propanoate I,AC3,CMY,0.0037287064375699
4978,"superpathway of (R,R)-butanediol biosynthesis",AC3,CMY,0.0001006033616873
5007,"superpathway of histidine, purine, and pyrimidine biosynthesis",AC3,CMY,0.0045216394892302
5010,superpathway of taurine degradation,AC3,CMY,1.364484041754296e-05
5012,photorespiration,AC3,CMY,0.0002881238366913
5023,biotin biosynthesis II,AC3,CMY,5.572608422761029e-05
5062,L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde,AC3,CMY,3.576398266279823e-05
5093,superpathway of heme biosynthesis from glycine,AC3,CMY,0.0010485896685874
5118,superpathway of menaquinol-8 biosynthesis II,AC3,CMY,0.0005010672048182
5132,"superpathway of 2,3-butanediol biosynthesis",AC3,CMY,0.0002342103272329
5140,8-amino-7-oxononanoate biosynthesis I,AC3,CMY,0.0029835618851597
5144,chondroitin sulfate degradation I (bacterial),AC3,CMY,0.0001712765745731
5146,superpathway of Clostridium acetobutylicum acidogenic fermentation,AC3,CMY,0.0012297614693028
5165,isopropanol biosynthesis,AC3,CMY,3.0177599166569583e-05
5170,superpathway of glucose and xylose degradation,AC3,CMY,0.0038432577983495
5197,superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis,AC3,CMY,0.003355207341218
5206,"myo-, chiro- and scillo-inositol degradation",AC3,CMY,0.0001164639538448
5219,"1,4-dihydroxy-6-naphthoate biosynthesis I",AC3,CMY,0.0001617665321286
5259,superpathway of pyridoxal 5'-phosphate biosynthesis and salvage,AC3,CMY,0.0023247905391559
5268,pyridoxal 5'-phosphate biosynthesis I,AC3,CMY,0.0019615214207527
5269,TCA cycle VIII (helicobacter),AC3,CMY,0.002370133083698
5305,biotin biosynthesis I,AC4,CMY,0.0031670329935079
5310,pyruvate fermentation to butanoate,AC4,CMY,0.0014530463743052
5325,fatty acid &beta;-oxidation I,AC4,CMY,0.0011651910175061
5359,L-methionine biosynthesis III,AC4,CMY,0.0025577165764253
5373,NAD biosynthesis II (from tryptophan),AC4,CMY,0.0001235769711518
5382,pyruvate fermentation to propanoate I,AC4,CMY,0.0057893562508093
5385,"superpathway of (R,R)-butanediol biosynthesis",AC4,CMY,0.0001730047130492
5414,"superpathway of histidine, purine, and pyrimidine biosynthesis",AC4,CMY,0.0051015987324589
5417,superpathway of taurine degradation,AC4,CMY,1.001233131486664e-05
5419,photorespiration,AC4,CMY,0.0001057589301866
5430,biotin biosynthesis II,AC4,CMY,6.060929023191397e-05
5469,L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde,AC4,CMY,7.773130047947979e-05
5500,superpathway of heme biosynthesis from glycine,AC4,CMY,0.0012624354430583
5525,superpathway of menaquinol-8 biosynthesis II,AC4,CMY,0.0008547970453473
5539,"superpathway of 2,3-butanediol biosynthesis",AC4,CMY,0.0001831875333501
5547,8-amino-7-oxononanoate biosynthesis I,AC4,CMY,0.002947843411294
5551,chondroitin sulfate degradation I (bacterial),AC4,CMY,0.0002623557403691
5553,superpathway of Clostridium acetobutylicum acidogenic fermentation,AC4,CMY,0.001772739787572
5572,isopropanol biosynthesis,AC4,CMY,7.922909173524348e-05
5577,superpathway of glucose and xylose degradation,AC4,CMY,0.0043883302953547
