	pathway	description	AB1	AB10	AB2	AB3	AB4	AB5	AB6	AB7	AB8	AB9	AC1	AC2	AC3	AC4	AC5	AC6	AC7	AC8	AC9	BA1	BA10	BA2	BA3	BA4	BA5	BA6	BA7	BA8	BA9
10	ARGSYNBSUB-PWY	L-arginine biosynthesis II (acetyl cycle)	33166.24604409776	34097.88060737232	33266.5504167661	28598.07004178544	76398.53657530883	25536.3317269205	31779.98861081571	39631.78592746309	43983.44865058977	45978.39947599997	44043.66961396836	72690.04320312892	50466.8635868046	46044.06908217188	45181.68391171936	31267.383413626896	35254.90892529278	41740.85222645442	49650.1877991563	36903.98239731558	43484.16257512604	41443.73043593917	43515.5072718122	41098.32965469216	96734.64869055542	42402.63869290952	48031.34221916173	35386.81901305209	44281.23887785322
11	ARO-PWY	chorismate biosynthesis I	51977.74511450024	57200.88224959901	56150.87787300819	52637.18261259329	102238.72277902828	44715.00809234189	48916.37405777988	49453.02504770024	61975.43730102467	64806.24764519238	69881.74950505959	94402.70645357172	75600.7675662262	72029.15144296522	75650.0287303816	52601.84464613046	61634.74560371866	61890.42006232952	80234.12510133763	61869.07178308831	68094.58044029986	78885.95336767234	65514.68246000552	62140.80013284314	110994.18173582632	79427.30017136474	69762.48629631489	63590.025347560506	67333.26254114052
12	ASPASN-PWY	superpathway of L-aspartate and L-asparagine biosynthesis	59572.83560650516	61773.28394086792	73707.6877832354	66386.85719806683	89523.0727780219	55303.43790160735	61741.49588899615	77855.42322030303	64047.61045098851	74940.89735045053	83000.32401581615	84685.30370175662	84644.67677459776	70762.6483519187	88212.32785261344	60337.17970719197	70854.42994531382	75262.67652439189	89703.70351128923	72175.66844183665	74981.06446751172	95416.25636634648	79256.14357779128	70981.08792089185	90084.58287406556	101155.4286032556	80109.31120827231	84983.94077119349	80774.00088536626
13	AST-PWY	L-arginine degradation II (AST pathway)	1556.0308025054276	196.7026195684276	296.00385796566087	601.1137330089448	1078.2458877658669	316.56293473305203	444.2516961803361	1231.422549006313	1631.5374641521546	567.0939093113583	163.69080241460145	2031.625176751964	490.1592497225876	131.07623534900335	288.0781543092272	534.7780321887718	483.8052374078999	382.45238832363736	630.5976308586122	661.50480988408	1171.985668742088	814.021955791397	360.87136885989423	269.2149693554477	4384.827630450259	311.0586261169373	460.4421424482654	274.8771227707103	228.0179417337125
14	BIOTIN-BIOSYNTHESIS-PWY	biotin biosynthesis I	17901.830728399666	16662.38054950213	24474.46127227083	14321.603615043648	24186.614012376747	16662.273700075904	14947.258936082046	17868.400808770653	20745.920843433087	19682.25321473081	28476.21738601976	34005.03963434525	32449.125088119355	32598.27104694946	30533.86744973099	24485.597039121305	30510.64074093325	28804.961498694505	31017.40580616817	27186.82129654569	26800.998098023123	31611.20802399584	27246.752059039674	24532.10389825321	19975.45478193288	23074.14495787008	23729.283235376795	25497.92886477331	28120.00331508775
15	BRANCHED-CHAIN-AA-SYN-PWY	superpathway of branched amino acid biosynthesis	50405.06025683257	60546.13563087669	59568.90883392576	56712.63284923442	99067.9685339351	49752.47659291245	53098.61986121148	50107.546132165655	61201.31525765557	63673.07121437044	70575.63265348464	101069.25948454472	82157.40617671689	84431.34946790252	74493.10116368953	54821.57139995677	69127.0511215984	68232.66621712234	79075.73015887702	62721.75842457232	65522.600477361295	78153.00056572918	69185.785276325	64629.83674435416	117364.3772644136	73913.23289697066	73947.32904336318	68521.20513405876	73212.14740506512
16	CALVIN-PWY	Calvin-Benson-Bassham cycle	71834.5646861357	74994.03740988822	81621.60088521177	79887.42923230145	115115.10282218132	66632.2557469098	72277.90870053794	86261.34921812601	79069.76865721768	85366.8182820012	92439.69787723564	110723.28117696808	100024.22877924234	88983.05426440673	100786.0819660548	70751.20419600041	82481.6366046172	82187.06467213522	103137.6513065149	82334.30296850359	92120.71891645883	106363.72104868836	85305.12406682134	79540.09565037176	140897.2369862476	115791.67153996832	89677.64034945937	88535.48238165396	92758.46902387476
17	CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to &beta;-ketoadipate	4.008252600891505	5.520270270270271	8.851063829787234	1.6800000000000004	1.897806821087872	9.674418604651164	4.983606557377049	5.413877245508982	12.671907433380085	10.933001515917129	31.0237557655439	30.594081779053084	14.90987309098731	26.268482508888244	9.450592288035136	80.56970181966577	157.80552061592738	213.8623798950796	410.1608733008502	8.515585062240664	416.92877047673966	1.521182795698925	4.365632584379495	1.9038941398865783	4.375441977377461	4.632094617757971	3.4029383684869696	2.5531914893617023	12.719938112429087
18	CENTBENZCOA-PWY	benzoyl-CoA degradation II (anaerobic)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.485714285714286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
19	CENTFERM-PWY	pyruvate fermentation to butanoate	6121.731367006648	2807.802841326074	5546.521847906851	3190.7455179935805	5073.490355002057	4656.2336200330365	2959.592919871673	4782.276456608965	3823.746127374741	6795.714958790964	7607.696342349367	14550.380485688827	11106.950982978353	14956.206534786676	12684.58261734608	7692.4428291791155	12130.545294617295	8312.002415571134	12761.784467596746	7964.286922590053	13321.583885925516	9346.24139252942	6325.164125434035	8420.636040890124	5578.24515192722	4597.32447282779	8088.031014998117	5472.322635582504	6070.068751332015
20	CHLOROPHYLL-SYN	chlorophyllide a biosynthesis I (aerobic, light-dependent)	2.332160651989069	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.332537787232578	0.0	63.71184693351229	2.332414263987131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
21	COA-PWY	coenzyme A biosynthesis I	65569.00947893779	65803.39931534838	75035.94044362806	67337.31254676367	99265.74984734163	58178.9481547468	66361.73917759674	88803.37460060441	72377.60201538743	79892.42563698425	88729.33797598751	95430.48797446674	92024.95425076956	81772.79356177636	92932.1333841836	63641.79645534544	76878.59239258847	78531.48229341021	93522.4477489506	74452.22225415123	81111.20830601102	96862.14328467668	79428.80896392428	72995.0263768646	95937.52810712295	102452.90469401462	81299.01621428436	82679.30664298112	83128.78422059983
22	COBALSYN-PWY	adenosylcobalamin salvage from cobinamide I	36273.55803393163	42288.21527418788	40391.80519427758	43578.511359006574	67838.21976108194	36559.832207808526	36091.7442586132	27907.163849429195	42576.30037378211	42958.830879325775	47084.50132745758	57346.55760994924	48826.4336683606	33650.1892240956	53606.837209379024	34395.69670272842	35366.18719674203	36567.09439862526	53788.51514572101	41671.59989574315	39237.33966185539	56924.11342728865	29076.3842434948	35723.90466082784	63812.16047927836	55914.20909282864	30535.166838613444	33325.81260686616	36941.044999898
23	CODH-PWY	reductive acetyl coenzyme A pathway	1804.8170507432096	3230.4443491824923	4842.427463882531	1513.4752347286394	1695.018698343645	1055.867472506391	1403.40389854516	1513.8638905360858	1206.0582969642408	1599.8529793223092	3626.764791093033	2321.328759085315	1566.286412851972	3889.169110433281	1758.295857107115	1923.2420412455367	1106.1534364060583	2098.354582798308	3271.557082158113	1081.610188900487	874.8084804906107	2338.033042414264	7547.349238309882	2869.263517929039	593.4019780634254	2508.215394237276	7522.079227410533	5043.012527694799	2746.210236835612
24	COLANSYN-PWY	colanic acid building blocks biosynthesis	41555.62158191024	34933.616358755484	46899.67086763005	30568.24455119877	55656.57259462909	32008.873144437624	40877.115822156426	45242.90648884907	45283.729972901885	49612.77816858809	56384.79976556856	57654.17799060257	58451.71440728011	47339.47264369646	57317.42296479104	37133.23568774923	46344.917737478514	49381.7565577796	57693.44364126605	41525.924068803535	52801.81184727708	44878.7982418116	48460.26137955634	40978.25102703396	38524.94118409295	48565.279614742256	48022.18403753415	46876.451652856944	47952.58596255036
25	COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	54332.25124740681	59320.45143812699	59121.33924459641	55424.10084863992	106125.05034535368	47290.55965551403	51276.47490270167	51282.19322863188	64378.26735127567	67041.85387852973	73355.67817546726	98512.74174347486	79570.0419999344	76165.16001129645	79469.87693359196	55451.65529721877	65301.993286912206	65013.08667998421	84001.89360101389	64824.42713817561	71134.04210475233	82992.34981144832	68466.13623238946	64991.79318175264	115958.6434481364	83115.51746287075	73021.49043299732	67181.4850777107	70807.60272698823
26	CRNFORCAT-PWY	creatinine degradation I	17.74033458137791	23.09953190369208	107.41288430343558	17.1321093703004	95.60634222575804	57.34678800317562	119.82377087532124	91.18681936938742	90.7617166729628	85.9756612194238	158.41990435711915	93.86981770357852	1048.606617891565	141.79074632605997	132.1407637095257	279.01840942109305	446.84268962645086	114.72801672444076	744.8537152292125	640.8888567517795	1715.2502029687416	165.50946198032204	122.8652493946489	298.6839899557525	52.36369259814417	322.5678921965963	611.8903513865614	521.3009186257607	104.82672277257922
27	DAPLYSINESYN-PWY	L-lysine biosynthesis I	44375.78525134414	45963.3716633809	42121.72791322367	36728.78047454187	92532.41841910672	32804.25624879713	38503.2574139918	49548.54974175471	61187.32527415943	60400.98430049371	51883.7464784245	83541.73108800626	56499.54041032999	48242.11720081016	53175.81475951526	34648.644067535526	41483.78631075341	50764.98127708615	58886.05222947293	45631.84343467357	56877.84157646299	51281.1835649652	50488.24664407877	49145.23268813212	114325.40647758733	52274.58198693653	53952.889761064085	42084.52951388888	53258.38698600487
28	DENITRIFICATION-PWY	nitrate reduction I (denitrification)	13.93461651473942	10.710743801652892	47.352839931153184	8.597014925373134	44.31110070988377	25.99925953350611	48.27137028896015	39.710306406685234	39.32472691161867	38.44014205521824	76.00936498526028	48.0180005078656	451.3053184885009	70.26149664297168	71.4508288583521	103.20293632977898	185.83349207554105	85.24021371696483	98.24161145758696	280.23778837433446	1024.9074370389417	74.74596985392537	57.51159080244017	127.97651840144503	23.558976549485283	127.68846053659809	242.13126777932723	211.15252899192387	49.10057204322104
29	DENOVOPURINE2-PWY	superpathway of purine nucleotides de novo biosynthesis II	54289.80517368653	42370.29727107521	62606.34239285862	51496.08693242625	69707.4388256761	41964.58487471665	49576.09597259699	69261.3444255387	52100.522969424674	62615.46773099766	78142.02540489957	79035.50961961881	81107.36628503296	71004.80943924954	87101.15157464887	56611.1686607285	67719.028206667	70966.1779735614	85673.62253214412	63471.31940133893	70890.43433532248	88458.79539716057	73242.04178832006	64524.58605880258	63735.51803195233	81572.94194503062	76478.94576738754	78617.0590901266	74851.33550543281
30	DHGLUCONATE-PYR-CAT-PWY	glucose degradation (oxidative)	4.387474594841192	7.508828618712114	13.009984364172308	1.772128266469822	2.0682988692693947	11.340961085658046	3.4666550239561427	6.647090309789052	9.498548105595365	10.678418942715112	36.77196666238243	46.562118940332375	21.572711067715847	37.32861604437095	13.806518346475627	31.6360525323604	57.48335438142126	94.80160566589028	51.82571148117373	10.29589831449174	323.8185690440389	2.234855200865599	5.74680648515479	2.61670883853952	6.062850275377865	5.839022915009642	2.184885764684586	3.9578024343531872	14.080770949093402
31	DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I	64844.35957101205	64380.02465328539	74531.38086806943	63626.01753521624	94425.52451549815	55998.08964459018	59577.84997963253	90722.90154482158	71556.74599370327	75502.0455017531	80362.23115672026	94555.25553305208	84194.63012075727	83662.09623289021	87165.4246037662	60993.32961513916	72755.30340339968	73537.59398525557	92334.22351927678	71545.2071696021	81797.95491972454	93507.24866732975	80378.52711581251	71517.23582317444	105676.1300526692	96707.3650809686	83266.43340097311	83893.64859625691	83909.92799263995
32	ECASYN-PWY	enterobacterial common antigen biosynthesis	6.45040445997686	0.8240122520753786	4.977658308064508	1.2465578263318895	4.44359388000662	6.546286661979238	2.4936682255197065	92.42997947287932	8.606678586141152	24.810391655210825	0.8243710304676466	31.410098735323697	2.488728051846945	2.0972241264595217	17.9681047392539	215.18818970917425	83.71581163559657	145.46524919576464	52.295799983707454	7.852395501036114	124.42906436172042	16.5909824610164	7.339699249868043	12.253899712026271	10.889874005499442	13.966418493157615	8.489916824111665	9.889822550152909	41.20587970591572
33	ENTBACSYN-PWY	enterobactin biosynthesis	54.139668473957336	8.745901226602722	15.988212883234738	7.089433327602139	25.03714335710691	10.658305654781834	8.865572325405731	208.7551936596558	43.700326984118746	100.56497437105205	18.17027093330037	73.91554835451632	7.091624942016657	14.646599200559145	41.47969048031609	677.1921012220037	943.67391776616	783.3079797436213	1799.6992134367724	30.19470741350538	1270.0717636394493	35.22868773325938	23.758920946906528	37.47613312044025	23.81775745873936	38.67104400006219	25.35996380478444	26.633806835796847	104.42674509138438
34	FAO-PWY	fatty acid &beta;-oxidation I	3664.311834358404	1449.2829594172204	3136.736079190543	1621.781877202583	2641.30625762472	2729.197164968561	1498.6699113409418	2519.3044408704022	2006.349989429583	3720.863346232458	4010.317638529835	9337.26987105502	7013.0594026134695	11993.311306827696	7906.353233472217	4789.562396964325	8188.145308048994	4559.081305628445	7198.592276193754	4254.182495844829	7468.070487157518	5163.909632862702	3418.059835421323	4592.58421612281	2756.404430491804	2260.6791171863347	4478.953068060083	2768.6453807227003	3148.96584997553
35	FASYN-ELONG-PWY	fatty acid elongation -- saturated	61251.0411455598	66852.18183866561	77479.01173789894	67317.33939530939	72705.28159631291	59188.86633473437	62626.29541475871	68430.11735028845	60025.35816402763	65963.72170007181	92073.73653316886	88674.8373818997	95497.86796434392	88156.231726821	98164.60471619204	67209.75267703754	77933.82121637504	81882.51275186996	96525.73663481114	73138.18676004832	76557.40979669774	99932.43621191544	83199.99053618565	72359.80221751671	48702.1332225537	101100.97618546312	82847.27724967765	85230.77802709391	84603.65792732502
36	FASYN-INITIAL-PWY	superpathway of fatty acid biosynthesis initiation (E. coli)	37222.91844284213	51031.97921232489	41372.10430991938	50295.78552291708	36062.56048801634	45062.7573994626	47375.65758538995	22984.25118031405	38424.1432000568	27104.60684225027	28042.71770899988	31987.176831722445	35352.118732519186	21478.18637427536	29474.282222482943	23377.874735291785	25287.55147487628	22632.720823584707	24564.77652659728	30456.102023759897	35587.26970015131	32787.338945981945	19489.185388874543	20956.091817870027	21164.716922498443	16139.64484712685	14861.302966991168	15561.74272011521	23114.7206665792
37	FERMENTATION-PWY	mixed acid fermentation	46302.05404062716	34011.00002085211	44020.00917017408	31204.766716008675	56302.37124399564	30552.6546651722	42880.25083460283	52760.23973958635	52725.14499277535	55713.86868660485	51125.970799995805	57243.61845501587	55355.116490342494	41947.02773834584	49674.66831074967	31332.28431546496	41127.437559350285	53293.00558742461	54564.99436240867	39113.56390916838	55650.59510100666	32757.477689416584	48993.51024728545	40924.544978931015	60246.33729754535	45014.329690040046	48554.12083842634	43954.76844760573	58399.91865066357
38	FOLSYN-PWY	superpathway of tetrahydrofolate biosynthesis and salvage	55385.22031017143	55498.67481919599	65193.62461911384	58857.3666977578	75159.84877756612	50020.588191219904	52665.38363953032	60612.73734949902	56232.3501620202	60533.49393321907	74436.74966822479	77088.95485630879	76859.88005991375	72588.31446214316	81914.05124824842	56543.58760470708	68235.11872005856	64609.93171224861	82578.6488701631	65347.1684897779	68697.59177884823	88842.32713404654	68649.75912013646	61678.45461872751	65062.57914551788	91050.46555442286	71991.97694743902	76413.73452613827	71771.11704452208
39	FUC-RHAMCAT-PWY	superpathway of fucose and rhamnose degradation	4089.762351186854	2985.6141671292694	3156.1731713447653	5623.746927048604	5349.323175929985	3316.121478426529	2330.677851932898	3513.0066024490498	5368.448642585182	5941.504746786151	1670.491356420418	9541.214344232289	2025.2174969725224	2089.9910275064785	3364.5202188620474	1925.175969568564	2039.2775266458705	4755.283090479465	3992.708598467554	3349.959652025356	3065.438947756171	2407.886330601358	3019.3272537335006	4632.465639209629	32744.878075916306	2247.470322745704	5281.292620741884	2060.304978905984	5040.532776422496
40	FUCCAT-PWY	fucose degradation	6242.233130873196	5769.553833847384	4009.667674571339	4169.6494358561295	11114.051109757696	3445.9447515149686	2261.4426979910127	3813.464661664981	11653.456849234111	7544.121317322095	1099.920779211656	10522.36758344471	1192.0553494289063	1059.3902349047592	2280.6958332779845	1137.7242160932983	1136.6942469141538	3311.543648218185	2548.442329446539	2717.7269756195165	2829.025782663592	1916.1349352948707	2702.0033870256184	3820.232063731666	35063.96411363835	2160.5649749730696	4144.848703088848	1616.0726933807416	4343.623293666703
41	GALACT-GLUCUROCAT-PWY	superpathway of hexuronide and hexuronate degradation	15132.544092496912	17102.52823242777	13745.115590318095	16488.08386042852	31455.0614967094	14527.13123642855	13434.848547008489	13143.371488013963	22743.77364963972	19625.756027705283	15141.63809819286	28189.52124692412	15041.437312625672	23459.33883277005	14497.391794162211	11236.000475640783	15209.415222559175	16548.919122033978	17334.343896072314	15865.54094644924	18761.777861704824	17381.65032438869	19468.06321379097	17796.07029742367	54443.595635622514	17463.727755829947	20452.076063301647	21223.341463347933	18802.878355768924
42	GALACTARDEG-PWY	D-galactarate degradation I	82.45172537091207	40.13023395216828	88.41323246288417	69.66182807585425	468.0095591840675	82.5371125973879	85.9156171970119	105.53430942634408	75.3077735166585	117.74848683196954	106.27911677204348	99.81672004551169	63.11416125080902	82.84777065186468	38.06529717893058	132.40799719897925	156.14503668457596	342.9148432457593	222.1105064036522	179.16223720751356	818.0840444668265	87.85469134657053	104.14996121892284	202.7660318452075	288.1530615938884	263.6374058104122	86.41182714530238	94.07162972732851	99.7661271877261
43	GALACTUROCAT-PWY	D-galacturonate degradation I	25066.661589467032	26807.17539183038	32450.99701903069	35733.99973210727	43579.69502726042	32546.332207571813	31748.69425190306	22745.69021507981	29959.2642805442	31794.656908233483	28145.81982905121	42898.72858212312	32302.608716610528	38480.845049561576	34638.14148516151	23198.05323735251	31179.733405058185	28735.5985684154	35127.48356328373	34081.155861652944	30450.7090443716	37851.97773602421	29078.4828782344	31449.4592934319	65911.48925090928	33310.30744615439	30455.12451707036	30705.98101979683	31359.666903104266
44	GALLATE-DEGRADATION-I-PWY	gallate degradation II	8.454993048184534	0.0	0.0	2.56	1.7156422342682067	1.3023255813953487	0.0	0.3826846590909091	0.1858115183246073	0.5148062015503876	9.245346653592826	2.894736842105264	1.6842105263157894	2.5263157894736845	2.374578274982381	47.559902838520166	47.35367109083733	103.10850787096648	171.64511430836367	0.0	100.76572423683672	0.5088552621429122	1.6888195615514336	0.5546909807240373	0.2635263967196309	1.2510531103081917	1.8781821980777265	0.0	0.1860060667340748
45	GALLATE-DEGRADATION-II-PWY	gallate degradation I	8.454993048184534	0.0	0.0	2.56	1.7156422342682067	1.3023255813953487	0.0	0.3826846590909091	0.1858115183246073	0.5148062015503876	9.245346653592826	2.894736842105264	0.0	2.5263157894736845	2.374578274982381	23.605175625878648	41.26697812630122	42.29751340801253	139.67092033721326	0.0	100.76572423683672	0.5088552621429122	1.6888195615514336	0.5546909807240373	0.2635263967196309	1.2510531103081917	1.8781821980777265	0.0	0.1860060667340748
46	GLCMANNANAUT-PWY	superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	19418.36039563588	15661.461522858708	20072.071064650227	13145.328081092706	32254.821828037067	13914.133403245894	14830.10897832807	30499.819949510205	31208.903999360467	31801.806083998425	24261.540560503003	31003.46480673062	26684.4603264579	15684.789168936386	21929.52746878873	13370.228489480993	18439.06221209248	33075.25556027381	24098.76266372904	15454.739437404274	24447.451141486115	10866.193727179543	22900.474327047792	20732.90399487703	69353.02009093888	14042.741279674849	24685.18009800389	20249.13861502449	26721.51215557563
47	GLUCARDEG-PWY	D-glucarate degradation I	1154.6366316809908	494.65981568460825	704.895442432864	762.3539502328708	1462.809900374698	612.1113161730291	946.3577633113558	1276.8834500251396	1138.8685491776964	1421.2904663907004	924.467504737062	1387.22174452554	1337.9198281140516	535.0762465929373	1304.064109177908	780.9063875194371	826.6162644217995	1122.6260583301053	1153.211714918971	1284.2691805312372	2178.7428347486207	625.0200103066829	979.1015533623462	1276.7072329113564	1339.2555749051226	1700.5405383210032	1218.649338425209	962.5374471369392	1117.0399765209252
48	GLUCARGALACTSUPER-PWY	superpathway of D-glucarate and D-galactarate degradation	82.45172537091207	40.13023395216828	88.41323246288417	69.66182807585425	468.0095591840675	82.5371125973879	85.9156171970119	105.53430942634408	75.3077735166585	117.74848683196954	106.27911677204348	99.81672004551169	63.11416125080902	82.84777065186468	38.06529717893058	132.40799719897925	156.14503668457596	342.9148432457593	222.1105064036522	179.16223720751356	818.0840444668265	87.85469134657053	104.14996121892284	202.7660318452075	288.1530615938884	263.6374058104122	86.41182714530238	94.07162972732851	99.7661271877261
49	GLUCONEO-PWY	gluconeogenesis I	61571.26350678122	62733.5191824284	74615.95370893713	68125.05646506342	93396.46189807764	57158.72546828657	61301.10529289088	82394.35115100747	68341.1896712895	74777.74492838982	83469.14816411491	90187.32414401384	85020.2576208585	81267.36583392303	90292.2199051918	62415.62810412829	75900.62583970415	74685.56736404897	92489.09446217652	73764.9851989599	77810.1382579303	98326.0216337334	80618.86937015141	71428.24345347626	98873.85352393996	102641.00793056726	83642.76992366425	86216.92588965419	82145.95492844889
50	GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	3037.3580998325792	381.102277314531	555.3003061314945	1199.0922670374275	2101.059067303728	621.0288553374024	839.3107911560011	2408.0075927144608	3177.0884916065365	1110.2085415415652	239.8308193635985	3948.282022090156	651.3625593369641	223.2222981345216	705.5902969134052	946.6599077608978	950.1772836086172	1098.0137898826065	965.6108777147584	1072.0202113817131	1874.0473739027027	1568.9498556129518	670.5387213685188	430.5114094257706	8483.903138030044	536.2649233767592	720.1479601589059	406.68521027348856	431.2332936103312
51	GLUCUROCAT-PWY	superpathway of &beta;-D-glucuronide and D-glucuronate degradation	14032.581237731436	16286.795151467855	11326.869499677612	13797.161905149069	32210.708747950262	11947.118200455054	10947.422514162176	12205.756501831544	23178.56012069158	18811.7190274126	13799.836591304618	27221.228744795404	13163.437159212448	21808.09860623225	12428.59047836843	9883.652235455707	13207.663586526784	15194.075518768355	15263.427964318713	13496.95984409557	17830.971667659025	15043.44796648095	18556.754800613	16305.174315128726	57370.77563669072	15991.470074628523	19587.37075754669	20627.85549529609	17402.75737608151
