pathway	description	#SampleID	Abundance	Group	relative_abundance
CHLOROPHYLL-SYN	chlorophyllide a biosynthesis I (aerobic, light-dependent)	AB1	2.332160651989069	CN	2.837135988467708e-07
COA-PWY	coenzyme A biosynthesis I	AB1	65569.00947893779	CN	0.007976645878242294
COBALSYN-PWY	adenosylcobalamin salvage from cobinamide I	AB1	36273.55803393163	CN	0.004412775631046954
CODH-PWY	reductive acetyl coenzyme A pathway	AB1	1804.8170507432096	CN	0.0002195608352664939
COLANSYN-PWY	colanic acid building blocks biosynthesis	AB1	41555.62158191024	CN	0.00505535282968729
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	AB1	54332.25124740681	CN	0.006609664099126988
CRNFORCAT-PWY	creatinine degradation I	AB1	17.74033458137791	CN	2.158159286555075e-06
DAPLYSINESYN-PWY	L-lysine biosynthesis I	AB1	44375.78525134414	CN	0.005398433304572068
DENITRIFICATION-PWY	nitrate reduction I (denitrification)	AB1	13.93461651473942	CN	1.695183475707186e-06
DENOVOPURINE2-PWY	superpathway of purine nucleotides de novo biosynthesis II	AB1	54289.80517368653	CN	0.006604500420406217
DHGLUCONATE-PYR-CAT-PWY	glucose degradation (oxidative)	AB1	4.387474594841192	CN	5.337480529437416e-07
DTDPRHAMSYN-PWY	dTDP-L-rhamnose biosynthesis I	AB1	64844.35957101205	CN	0.007888490273221584
ECASYN-PWY	enterobacterial common antigen biosynthesis	AB1	6.45040445997686	CN	7.847090044146212e-07
ENTBACSYN-PWY	enterobactin biosynthesis	AB1	54.139668473957336	CN	6.586235888173921e-06
FAO-PWY	fatty acid &beta;-oxidation I	AB1	3664.311834358404	CN	0.0004457733633984268
FASYN-ELONG-PWY	fatty acid elongation -- saturated	AB1	61251.0411455598	CN	0.007451353448441535
FASYN-INITIAL-PWY	superpathway of fatty acid biosynthesis initiation (E. coli)	AB1	37222.91844284213	CN	0.0045282678712512976
FERMENTATION-PWY	mixed acid fermentation	AB1	46302.05404062716	CN	0.005632769069600772
FOLSYN-PWY	superpathway of tetrahydrofolate biosynthesis and salvage	AB1	55385.22031017143	CN	0.006737760609981191
FUC-RHAMCAT-PWY	superpathway of fucose and rhamnose degradation	AB1	4089.762351186854	CN	0.0004975305599524761
FUCCAT-PWY	fucose degradation	AB1	6242.233130873196	CN	0.0007593844038531875
GALACT-GLUCUROCAT-PWY	superpathway of hexuronide and hexuronate degradation	AB1	15132.544092496912	CN	0.0018409145787311155
GALACTARDEG-PWY	D-galactarate degradation I	AB1	82.45172537091207	CN	1.0030473550848978e-05
GALACTUROCAT-PWY	D-galacturonate degradation I	AB1	25066.661589467032	CN	0.00304942661842626
GALLATE-DEGRADATION-I-PWY	gallate degradation II	AB1	8.454993048184534	CN	1.0285725830589592e-06
GALLATE-DEGRADATION-II-PWY	gallate degradation I	AB1	8.454993048184534	CN	1.0285725830589592e-06
GLCMANNANAUT-PWY	superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	AB1	19418.36039563588	CN	0.0023622956278122136
GLUCARDEG-PWY	D-glucarate degradation I	AB1	1154.6366316809908	CN	0.00014046464331483058
GLUCARGALACTSUPER-PWY	superpathway of D-glucarate and D-galactarate degradation	AB1	82.45172537091207	CN	1.0030473550848978e-05
GLUCONEO-PWY	gluconeogenesis I	AB1	61571.26350678122	CN	0.00749030935761351
GLUCOSE1PMETAB-PWY	glucose and glucose-1-phosphate degradation	AB1	3037.3580998325792	CN	0.00036950275992133047
GLUCUROCAT-PWY	superpathway of &beta;-D-glucuronide and D-glucuronate degradation	AB1	14032.581237731436	CN	0.0017071011470290083
GLUTORN-PWY	L-ornithine biosynthesis	AB1	29178.265454234195	CN	0.0035496142570910646
GLYCOCAT-PWY	glycogen degradation I (bacterial)	AB1	60230.2565736043	CN	0.007327172267222415
GLYCOGENSYNTH-PWY	glycogen biosynthesis I (from ADP-D-Glucose)	AB1	56631.44916986306	CN	0.006889367693510476
GLYCOL-GLYOXDEG-PWY	superpathway of glycol metabolism and degradation	AB1	175.58722007368158	CN	2.1360656297891116e-05
GLYCOLYSIS	glycolysis I (from glucose 6-phosphate)	AB1	67702.6971030969	CN	0.00823621470089124
GLYCOLYSIS-E-D	superpathway of glycolysis and Entner-Doudoroff	AB1	25171.78094709852	CN	0.003062214670242782
GLYCOLYSIS-TCA-GLYOX-BYPASS	superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	AB1	4400.624662072435	CN	0.0005353477938947222
GLYOXYLATE-BYPASS	glyoxylate cycle	AB1	1710.310169776612	CN	0.00020806381970200075
GOLPDLCAT-PWY	superpathway of glycerol degradation to 1,3-propanediol	AB1	2435.399035613828	CN	0.0002962728251300557
HCAMHPDEG-PWY	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate	AB1	1.1380362318451187	CN	1.384451601477024e-07
HEME-BIOSYNTHESIS-II	heme biosynthesis I (aerobic)	AB1	12918.861707684357	CN	0.0015716141788794948
HEMESYN2-PWY	heme biosynthesis II (anaerobic)	AB1	17049.293850227456	CN	0.0020740923280386523
HEXITOLDEGSUPER-PWY	superpathway of hexitol degradation (bacteria)	AB1	1216.4427535608322	CN	0.00014798352382348523
HISDEG-PWY	L-histidine degradation I	AB1	18855.52315795465	CN	0.002293824968155331
HISTSYN-PWY	L-histidine biosynthesis	AB1	37704.52112939185	CN	0.004586856129868369
HOMOSER-METSYN-PWY	L-methionine biosynthesis I	AB1	8234.454234296145	CN	0.001001743444800277
HSERMETANA-PWY	L-methionine biosynthesis III	AB1	8422.215053436405	CN	0.0010245850520777461
ILEUSYN-PWY	L-isoleucine biosynthesis I (from threonine)	AB1	53314.11369754733	CN	0.006485804935245931
KDO-NAGLIPASYN-PWY	superpathway of (Kdo)2-lipid A biosynthesis	AB1	9524.894865057946	CN	0.0011587290088690611
KETOGLUCONMET-PWY	ketogluconate metabolism	AB1	7.987216720529547	CN	9.716663380877423e-07
LACTOSECAT-PWY	lactose and galactose degradation I	AB1	5232.865967523996	CN	0.0006365921810158303
LEU-DEG2-PWY	L-leucine degradation I	AB1	3347.8823181866514	CN	0.00040727886400025617
LIPASYN-PWY	phospholipases	AB1	0.0	CN	0.0
LPSSYN-PWY	superpathway of lipopolysaccharide biosynthesis	AB1	0.0	CN	0.0
MET-SAM-PWY	superpathway of S-adenosyl-L-methionine biosynthesis	AB1	12137.4198543627	CN	0.0014765496813688764
METH-ACETATE-PWY	methanogenesis from acetate	AB1	11425.167288818688	CN	0.0013899022463021756
METHANOGENESIS-PWY	methanogenesis from H2 and CO2	AB1	5.099130107867525	CN	6.203228549701982e-07
METHGLYUT-PWY	superpathway of methylglyoxal degradation	AB1	4.946330696803093	CN	6.017343967618054e-07
METHYLGALLATE-DEGRADATION-PWY	methylgallate degradation	AB1	10.568413413057694	CN	1.2856758392530913e-06
NAD-BIOSYNTHESIS-II	NAD salvage pathway II	AB1	33.18819909060657	CN	4.037433439762557e-06
NADSYN-PWY	NAD biosynthesis II (from tryptophan)	AB1	24.037862350598747	CN	2.924270431479535e-06
NAGLIPASYN-PWY	lipid IVA biosynthesis	AB1	39308.87275914524	CN	0.004782029808964963
NONMEVIPP-PWY	methylerythritol phosphate pathway I	AB1	55933.23632383401	CN	0.006804428227981376
NONOXIPENT-PWY	pentose phosphate pathway (non-oxidative branch)	AB1	75866.71190792679	CN	0.009229389000157935
OANTIGEN-PWY	O-antigen building blocks biosynthesis (E. coli)	AB1	44031.62899034932	CN	0.005356565772294989
ORNARGDEG-PWY	superpathway of L-arginine and L-ornithine degradation	AB1	7.150986511496178	CN	8.699366901465093e-07
ORNDEG-PWY	superpathway of ornithine degradation	AB1	4.859087560167194	CN	5.91121035178614e-07
P101-PWY	ectoine biosynthesis	AB1	1.219294665022946	CN	1.4833046650250632e-07
P105-PWY	TCA cycle IV (2-oxoglutarate decarboxylase)	AB1	9304.498089334193	CN	0.0011319171499340945
P108-PWY	pyruvate fermentation to propanoate I	AB1	17484.400804893536	CN	0.0021270242561570204
P122-PWY	heterolactic fermentation	AB1	24282.585736842026	CN	0.0029540416878352373
P124-PWY	Bifidobacterium shunt	AB1	33241.06937445939	CN	0.004043865251606712
P125-PWY	superpathway of (R,R)-butanediol biosynthesis	AB1	409.7380566587191	CN	4.984573362901937e-05
P161-PWY	acetylene degradation	AB1	36524.31425484424	CN	0.004443280797921996
P162-PWY	L-glutamate degradation V (via hydroxyglutarate)	AB1	1329.065265580239	CN	0.0001616843544969372
P163-PWY	L-lysine fermentation to acetate and butanoate	AB1	491.8417301923647	CN	5.983386574028876e-05
P164-PWY	purine nucleobases degradation I (anaerobic)	AB1	13353.547828130597	CN	0.0016244949113862202
P184-PWY	protocatechuate degradation I (meta-cleavage pathway)	AB1	1.8660917229825624	CN	2.270150635008808e-07
P221-PWY	octane oxidation	AB1	9.998230893712131	CN	1.2163116063795634e-06
P23-PWY	reductive TCA cycle I	AB1	24531.24199889706	CN	0.0029842913890825557
P241-PWY	coenzyme B biosynthesis	AB1	5.199141048824593	CN	6.324894541960198e-07
P261-PWY	coenzyme M biosynthesis I	AB1	11.937935195265036	CN	1.4522818375138446e-06
P281-PWY	3-phenylpropanoate degradation	AB1	18.24898839589219	CN	2.2200383874480185e-06
P341-PWY	glycolysis V (Pyrococcus)	AB1	0.0	CN	0.0
P381-PWY	adenosylcobalamin biosynthesis II (late cobalt incorporation)	AB1	148.22662231342338	CN	1.8032166191284973e-05
P4-PWY	superpathway of L-lysine, L-threonine and L-methionine biosynthesis I	AB1	22153.317231346085	CN	0.0026950104628250277
P42-PWY	incomplete reductive TCA cycle	AB1	55575.14898507792	CN	0.00676086594272744
P441-PWY	superpathway of N-acetylneuraminate degradation	AB1	29985.625474194923	CN	0.0036478317690933778
P461-PWY	hexitol fermentation to lactate, formate, ethanol and acetate	AB1	11122.65944313984	CN	0.0013531013554614311
P562-PWY	myo-inositol degradation I	AB1	42.52022066473446	CN	5.172698895447787e-06
P621-PWY	nylon-6 oligomer degradation	AB1	1.4778067885117492	CN	1.7977915972952548e-07
PANTO-PWY	phosphopantothenate biosynthesis I	AB1	45725.30056685573	CN	0.005562605462496129
PANTOSYN-PWY	pantothenate and coenzyme A biosynthesis I	AB1	51837.976226735234	CN	0.006306228852492163
PENTOSE-P-PWY	pentose phosphate pathway	AB1	28472.92682805388	CN	0.0034638079212931513
PEPTIDOGLYCANSYN-PWY	peptidoglycan biosynthesis I (meso-diaminopimelate containing)	AB1	65693.34279407279	CN	0.007991771359526533
PHOSLIPSYN-PWY	superpathway of phospholipid biosynthesis I (bacteria)	AB1	62969.91608302767	CN	0.007660459195106371
POLYAMINSYN3-PWY	superpathway of polyamine biosynthesis II	AB1	7194.976903231542	CN	0.0008752882392961249
POLYAMSYN-PWY	superpathway of polyamine biosynthesis I	AB1	7339.401114631978	CN	0.0008928578320006745
POLYISOPRENSYN-PWY	polyisoprenoid biosynthesis (E. coli)	AB1	52090.36042948563	CN	0.006336932067724492
PPGPPMET-PWY	ppGpp biosynthesis	AB1	4225.424903170484	CN	0.0005140342732876555
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate degradation II (ortho-cleavage pathway)	AB1	35.890077968878266	CN	4.366124252528287e-06
PRPP-PWY	superpathway of histidine, purine, and pyrimidine biosynthesis	AB1	33490.83893087818	CN	0.004074250388099559
PWY-1269	CMP-3-deoxy-D-manno-octulosonate biosynthesis I	AB1	36172.88492326073	CN	0.004400528477099313
PWY-1361	benzoyl-CoA degradation I (aerobic)	AB1	0.0	CN	0.0
PWY-1541	superpathway of taurine degradation	AB1	32.84297419612092	CN	3.995435905354933e-06
PWY-1622	formaldehyde assimilation I (serine pathway)	AB1	42.669734680602	CN	5.190887676518093e-06
PWY-181	photorespiration	AB1	234.92061292043388	CN	2.8578722687092955e-05
PWY-1861	formaldehyde assimilation II (RuMP Cycle)	AB1	1658.545267137586	CN	0.00020176648044745803
PWY-1882	superpathway of C1 compounds oxidation to CO2	AB1	0.0	CN	0.0
PWY-2941	L-lysine biosynthesis II	AB1	23152.59036343829	CN	0.002816574719684847
PWY-2942	L-lysine biosynthesis III	AB1	65913.68677373673	CN	0.00801857679567921
PWY-3001	superpathway of L-isoleucine biosynthesis I	AB1	55277.58339167741	CN	0.006724666290132912
PWY-3661	glycine betaine degradation I	AB1	44.08935843037092	CN	5.363588713520744e-06
PWY-3781	aerobic respiration I (cytochrome c)	AB1	25592.615712654784	CN	0.0031134103482737844
PWY-3801	sucrose degradation II (sucrose synthase)	AB1	0.0	CN	0.0
PWY-4361	S-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation	AB1	0.0	CN	0.0
PWY-4984	urea cycle	AB1	5645.068983515352	CN	0.0006867377835594018
PWY-5005	biotin biosynthesis II	AB1	504.004889309061	CN	6.13135466719607e-05
PWY-5022	4-aminobutanoate degradation V	AB1	3908.619423486488	CN	0.0004754940369197772
PWY-5028	L-histidine degradation II	AB1	5.5490336191186085	CN	6.75054823885795e-07
PWY-5088	L-glutamate degradation VIII (to propanoate)	AB1	41.01606548430789	CN	4.989714383167782e-06
PWY-5097	L-lysine biosynthesis VI	AB1	65187.8038913506	CN	0.007930271196008197
PWY-5100	pyruvate fermentation to acetate and lactate II	AB1	66410.41491566513	CN	0.008079005106513963
PWY-5101	L-isoleucine biosynthesis II	AB1	57340.02532524952	CN	0.00697556788342031
PWY-5103	L-isoleucine biosynthesis III	AB1	47972.08074452166	CN	0.005835932297626257
PWY-5104	L-isoleucine biosynthesis IV	AB1	55066.361387544	CN	0.0066989705667713124
PWY-5121	superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	AB1	56811.57384493769	CN	0.006911280343380005
PWY-5154	L-arginine biosynthesis III (via N-acetyl-L-citrulline)	AB1	27720.43369239542	CN	0.00337226511293513
PWY-5177	glutaryl-CoA degradation	AB1	2853.6273960350154	CN	0.0003471514269852402
PWY-5178	toluene degradation IV (aerobic) (via catechol)	AB1	1.1078877321005254	CN	1.3477751428673894e-07
PWY-5180	toluene degradation I (aerobic) (via o-cresol)	AB1	30.162916352888256	CN	3.6693996800320565e-06
PWY-5181	toluene degradation III (aerobic) (via p-cresol)	AB1	12.89844944197136	CN	1.569130972003883e-06
PWY-5182	toluene degradation II (aerobic) (via 4-methylcatechol)	AB1	30.162916352888256	CN	3.6693996800320565e-06
PWY-5183	superpathway of aerobic toluene degradation	AB1	0.0	CN	0.0
PWY-5188	tetrapyrrole biosynthesis I (from glutamate)	AB1	22023.71357409867	CN	0.0026792438302862243
PWY-5189	tetrapyrrole biosynthesis II (from glycine)	AB1	20548.77944887813	CN	0.002499814137751392
PWY-5198	factor 420 biosynthesis	AB1	3.3488372093023258	CN	4.073950290657733e-07
PWY-5265	peptidoglycan biosynthesis II (staphylococci)	AB1	201.6104245764968	CN	2.4526448927452126e-05
PWY-5304	superpathway of sulfur oxidation (Acidianus ambivalens)	AB1	9319.2	CN	0.001133705676801385
PWY-5345	superpathway of L-methionine biosynthesis (by sulfhydrylation)	AB1	13299.675654487604	CN	0.001617941216961732
PWY-5347	superpathway of L-methionine biosynthesis (transsulfuration)	AB1	16710.679168941373	CN	0.0020328989437972665
PWY-5384	sucrose degradation IV (sucrose phosphorylase)	AB1	4813.926655708985	CN	0.000585627090016609
PWY-5415	catechol degradation I (meta-cleavage pathway)	AB1	9.108727675603395	CN	1.1081011539906271e-06
PWY-5417	catechol degradation III (ortho-cleavage pathway)	AB1	4.814659231995239	CN	5.857162098868142e-07
PWY-5419	catechol degradation to 2-oxopent-4-enoate II	AB1	8.589289131201896	CN	1.0449100617791254e-06
PWY-5420	catechol degradation II (meta-cleavage pathway)	AB1	9.345749884730765	CN	1.1369355414933854e-06
PWY-5430	meta cleavage pathway of aromatic compounds	AB1	0.0	CN	0.0
PWY-5431	aromatic compounds degradation via &beta;-ketoadipate	AB1	4.814659231995239	CN	5.857162098868142e-07
PWY-5484	glycolysis II (from fructose 6-phosphate)	AB1	62304.61978959586	CN	0.007579524116492482
PWY-5505	L-glutamate and L-glutamine biosynthesis	AB1	26954.31736962006	CN	0.003279065007322993
PWY-5507	adenosylcobalamin biosynthesis I (early cobalt insertion)	AB1	516.6184151713435	CN	6.284801592624762e-05
PWY-5509	adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I	AB1	32629.62878256838	CN	0.0039694818635418955
PWY-5529	superpathway of bacteriochlorophyll a biosynthesis	AB1	0.0	CN	0.0
PWY-5531	chlorophyllide a biosynthesis II (anaerobic)	AB1	2.332160651989069	CN	2.837135988467708e-07
PWY-5532	adenosine nucleotides degradation IV	AB1	11.874258126544904	CN	1.4445353513036458e-06
PWY-5647	2-nitrobenzoate degradation I	AB1	1.478494623655914	CN	1.7986283671978678e-07
PWY-5651	L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde	AB1	15.026301647461096	CN	1.8279899003194103e-06
PWY-5654	2-amino-3-carboxymuconate semialdehyde degradation to 2-oxopentenoate	AB1	1.25	CN	1.5206585286309245e-07
PWY-5655	L-tryptophan degradation IX	AB1	3.138421529164184	CN	3.8179739718099397e-07
PWY-5659	GDP-mannose biosynthesis	AB1	62574.15708790967	CN	0.007612314051809684
PWY-5667	CDP-diacylglycerol biosynthesis I	AB1	66114.81302965897	CN	0.00804304434419119
PWY-5676	acetyl-CoA fermentation to butanoate II	AB1	6659.043771612124	CN	0.0008100905363062892
PWY-5677	succinate fermentation to butanoate	AB1	236.059220804606	CN	2.8717237390279576e-05
PWY-5686	UMP biosynthesis	AB1	71702.8302219859	CN	0.008722841624323045
PWY-5695	urate biosynthesis/inosine 5'-phosphate degradation	AB1	60665.56830866656	CN	0.007380129107425259
PWY-5705	allantoin degradation to glyoxylate III	AB1	42.88709995528824	CN	5.21733074522048e-06
PWY-5741	ethylmalonyl-CoA pathway	AB1	54.92229958682344	CN	6.681445062298061e-06
PWY-5747	2-methylcitrate cycle II	AB1	58.80193074022574	CN	7.153412598407137e-06
PWY-5837	1,4-dihydroxy-2-naphthoate biosynthesis I	AB1	3862.59115414568	CN	0.0004698945744932795
PWY-5838	superpathway of menaquinol-8 biosynthesis I	AB1	10990.491806208733	CN	0.0013370228079167682
PWY-5840	superpathway of menaquinol-7 biosynthesis	AB1	10962.310442237917	CN	0.0013335944693991144
PWY-5845	superpathway of menaquinol-9 biosynthesis	AB1	8601.894322366179	CN	0.0010464435170950445
PWY-5850	superpathway of menaquinol-6 biosynthesis I	AB1	8601.894322366179	CN	0.0010464435170950445
PWY-5855	ubiquinol-7 biosynthesis (prokaryotic)	AB1	5180.865588008083	CN	0.0006302661953675969
PWY-5856	ubiquinol-9 biosynthesis (prokaryotic)	AB1	5180.865588008083	CN	0.0006302661953675969
PWY-5857	ubiquinol-10 biosynthesis (prokaryotic)	AB1	5180.865588008083	CN	0.0006302661953675969
PWY-5860	superpathway of demethylmenaquinol-6 biosynthesis I	AB1	6126.764583272627	CN	0.000745337345317393
PWY-5861	superpathway of demethylmenaquinol-8 biosynthesis	AB1	7979.591505107218	CN	0.0009707387101785732
PWY-5862	superpathway of demethylmenaquinol-9 biosynthesis	AB1	6126.764583272627	CN	0.000745337345317393
PWY-5863	superpathway of phylloquinol biosynthesis	AB1	4373.688691741326	CN	0.0005320709608538462
PWY-5896	superpathway of menaquinol-10 biosynthesis	AB1	8601.894322366179	CN	0.0010464435170950445
PWY-5897	superpathway of menaquinol-11 biosynthesis	AB1	9943.907166478946	CN	0.0012097029792496304
PWY-5898	superpathway of menaquinol-12 biosynthesis	AB1	9943.907166478946	CN	0.0012097029792496304
PWY-5899	superpathway of menaquinol-13 biosynthesis	AB1	9943.907166478946	CN	0.0012097029792496304
PWY-5910	superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	AB1	17180.781762327435	CN	0.0020900881852343885
PWY-5913	TCA cycle VI (obligate autotrophs)	AB1	33692.92688818046	CN	0.004098834930163985
PWY-5918	superpathay of heme biosynthesis from glutamate	AB1	17065.384285515443	CN	0.0020760497726506574
PWY-5920	superpathway of heme biosynthesis from glycine	AB1	6697.182340672333	CN	0.0008147301955311841
PWY-5941	glycogen degradation II (eukaryotic)	AB1	21.99384523645775	CN	2.6756102668966488e-06
PWY-5971	palmitate biosynthesis II (bacteria and plants)	AB1	51639.02047184088	CN	0.0062820253512521395
PWY-5973	cis-vaccenate biosynthesis	AB1	68350.48610588498	CN	0.00831501997063868
PWY-5989	stearate biosynthesis II (bacteria and plants)	AB1	44782.18880468058	CN	0.005447873386927827
PWY-6071	superpathway of phenylethylamine degradation	AB1	2.0211574692482257	CN	2.458792274654728e-07
PWY-6107	chlorosalicylate degradation	AB1	0.0	CN	0.0
PWY-6121	5-aminoimidazole ribonucleotide biosynthesis I	AB1	62127.61797207974	CN	0.0075579913706213565
PWY-6122	5-aminoimidazole ribonucleotide biosynthesis II	AB1	62370.3093251803	CN	0.007587515424694744
PWY-6123	inosine-5'-phosphate biosynthesis I	AB1	64076.42364524787	CN	0.0077950688080251525
PWY-6125	superpathway of guanosine nucleotides de novo biosynthesis II	AB1	48304.6385253811	CN	0.005876388843684376
PWY-6126	superpathway of adenosine nucleotides de novo biosynthesis II	AB1	72595.54601717637	CN	0.008831442895331039
PWY-6141	archaetidylserine and archaetidylethanolamine biosynthesis	AB1	6.256641851402261	CN	7.61137263353922e-07
PWY-6143	CMP-pseudaminate biosynthesis	AB1	39.71066207735952	CN	4.830908557241391e-06
PWY-6147	6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	AB1	51095.05626921594	CN	0.006215850646932816
PWY-6148	tetrahydromethanopterin biosynthesis	AB1	7.195643292634744	CN	8.753693073544744e-07
PWY-6151	S-adenosyl-L-methionine cycle I	AB1	53505.36482487113	CN	0.006509071147875948
PWY-6163	chorismate biosynthesis from 3-dehydroquinate	AB1	57472.176640094825	CN	0.0069916444453394545
PWY-6165	chorismate biosynthesis II (archaea)	AB1	13.78077565412187	CN	1.6764683223671863e-06
PWY-6167	flavin biosynthesis II (archaea)	AB1	20.6438615591706	CN	2.5113811315063093e-06
PWY-6174	mevalonate pathway II (archaea)	AB1	18.652824127216068	CN	2.2691660873683036e-06
PWY-6182	superpathway of salicylate degradation	AB1	5.077451274945396	CN	6.176855667962943e-07
PWY-6185	4-methylcatechol degradation (ortho cleavage)	AB1	4.498002205290737	CN	5.471940332220852e-07
PWY-621	sucrose degradation III (sucrose invertase)	AB1	49012.64407768033	CN	0.005962519618198125
PWY-6210	2-aminophenol degradation	AB1	0.0	CN	0.0
PWY-6263	superpathway of menaquinol-8 biosynthesis II	AB1	2452.3121175743468	CN	0.0002983303469163514
PWY-6269	adenosylcobalamin salvage from cobinamide II	AB1	33449.853712394855	CN	0.004069264426336802
PWY-6277	superpathway of 5-aminoimidazole ribonucleotide biosynthesis	AB1	62370.3093251803	CN	0.007587515424694744
PWY-6282	palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	AB1	43901.263824156034	CN	0.0053407065001503315
PWY-6317	galactose degradation I (Leloir pathway)	AB1	53584.157395260656	CN	0.006518656475408395
PWY-6338	superpathway of vanillin and vanillate degradation	AB1	0.6984962332101438	CN	8.497394033980643e-08
PWY-6339	syringate degradation	AB1	4.796548179143897	CN	5.835129517283438e-07
PWY-6349	CDP-archaeol biosynthesis	AB1	10.660375619735705	CN	1.2968632883648222e-06
PWY-6350	archaetidylinositol biosynthesis	AB1	9.995575955317149	CN	1.2159886260024978e-06
PWY-6353	purine nucleotides degradation II (aerobic)	AB1	26150.841067002264	CN	0.0031813199599527056
PWY-6383	mono-trans, poly-cis decaprenyl phosphate biosynthesis	AB1	10.657438778893496	CN	1.2965060137989072e-06
PWY-6385	peptidoglycan biosynthesis III (mycobacteria)	AB1	65398.86914633249	CN	0.007955947850415066
PWY-6386	UDP-N-acetylmuramoyl-pentapeptide biosynthesis II (lysine-containing)	AB1	65313.23338814516	CN	0.007945530030731599
PWY-6387	UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	AB1	66424.43924897822	CN	0.008080711204278836
PWY-6396	superpathway of 2,3-butanediol biosynthesis	AB1	1020.0973181909033	CN	0.00012409757495524247
PWY-6397	mycolyl-arabinogalactan-peptidoglycan complex biosynthesis	AB1	2.307400600742296	CN	2.8070147219895127e-07
PWY-6467	Kdo transfer to lipid IVA III (Chlamydia)	AB1	36026.439999999995	CN	0.004382713059376822
PWY-6470	peptidoglycan biosynthesis V (&beta;-lactam resistance)	AB1	3.167763761608576	CN	3.853669584622448e-07
PWY-6471	peptidoglycan biosynthesis IV (Enterococcus faecium)	AB1	38857.97022998383	CN	0.004727176306840919
PWY-6478	GDP-D-glycero-&alpha;-D-manno-heptose biosynthesis	AB1	10709.06716214199	CN	0.0013027867451034071
PWY-6505	L-tryptophan degradation XII (Geobacillus)	AB1	0.0	CN	0.0
PWY-6507	4-deoxy-L-threo-hex-4-enopyranuronate degradation	AB1	20719.55879581995	CN	0.0025205899033866794
PWY-6519	8-amino-7-oxononanoate biosynthesis I	AB1	18137.958256008627	CN	0.002206531273116097
PWY-6545	pyrimidine deoxyribonucleotides de novo biosynthesis III	AB1	26723.68557893899	CN	0.0032510080313651853
PWY-6562	norspermidine biosynthesis	AB1	1.0231270430608594	CN	1.244661491122748e-07
PWY-6565	superpathway of polyamine biosynthesis III	AB1	0.0	CN	0.0
